region,name,description,link,detail
Sagaing,Crystal Nge & Aung Khant Zaw,နွေးထွေးကူညီပြည်သူဆီ ကျွန်တော်တို့အရောက်လာမည် — A campaign directly delivering aid to people in Sagaing.,https://m.facebook.com/story.php?story_fbid=637611772561471&id=100089379606172,စစ်ကိုင်းဘက်ကိုကူဖို့ အစ်မ Crystal Nge နဲ့ Aung Khant Zaw တို့ ပြုလုပ်နေတဲ့ "နွေးထွေးကူညီပြည်သူဆီ ကျွန်တော်တို့အရောက်လာမည်" ကမ်ပိန်း.
Sagaing,Maung Kaung,Active frontline volunteer delivering aid to refugee camps across Upper Myanmar.,https://www.facebook.com/share/19DCw42NCn/,Maung Kaung ဆီမှာလည်း စစ်ကိုင်းငလျင်ဘေးသင့်တွေအတွက် ကူလို့ရပါတယ်၊ သူကိုယ်တိုင်က အညာဒေသ စစ်ရှောင်စခန်းများစွာအတွက် အချိန်ပြည့်မြေပြင်တိုက်ရိုက်ဆင်းပြီး လုပ်ကိုင်နေသူဖြစ်ပါတယ်
Sagaing,Phoo (Field Network Support),Works directly with Sagaing-based resistance and handles live rescue and delivery.,https://www.facebook.com/share/p/15wfYtaXTJ/,စစ်ကိုင်းထဲက တော်လှန်ရေးအင်အားစုတွေနဲ့ ချိတ်ဆက်ပြီး ကယ်ဆယ်ထောက်ပံ့ရေးတွေ လက်ရှိလုပ်ဆောင်နေ
Sagaing,Let Pan Pwint Chain,Campaign from a grassroots group with deep connections in Sagaing's field networks.,https://www.facebook.com/share/p/1KQ6x2uabH/,လက်ပံပွင့်ချိန် ပေ့ချ်က ပြုလုပ်နေတဲ့ စစ်ကိုင်းအတွက်ကမ်ပိန်း၊ ဒီအဖွဲ့ကတော့ မြေပြင်အချိတ်အဆက်များတဲ့ တော်လှန်ရေးအဖွဲ့အစည်းပါပဲခင်ဗျာ
Sagaing,Sagaing Region Strike Forces,Coalition of township strike groups coordinating earthquake response.,https://www.facebook.com/share/p/15NH7NhjMn/,စစ်ကိုင်းတိုင်းဒေသ သပိတ်အင်အားစု  စစ်ကိုင်းတိုင်းဒေသအတွင်းမှာရှိတဲ့ သက်ဆိုင်ရာ သပိတ်အင်အားစု အသီးသီးကို အစည်းအဝေးခေါ်ယူထားပြီး ကယ်ဆယ်ထောက်ပံ့ရေး လုပ်ဆောင်ဖို့ရှိ
Sagaing,Nay Shine,Regular frontline distributor of supplies to Sagaing refugees.,https://www.facebook.com/share/15ccLzzRvn/,Nay Shine ကတော့ စစ်ကိုင်းစစ်ရှောင်တွေအတွက် အစဥ်တစိုက်မြေပြင်ဆင်းပြီး အထောက်အပံ့ပို့ဆောင်ပေးနေတဲ့ မြေပြင်ထောက်ပို့တစ်ဦးပါ
Sagaing,U Kyaw Thet Linn & Phoe San,"Fundraising auction for earthquake relief, ending March 31.",https://www.facebook.com/share/p/1BjHZaUyVU/,U Kyaw Thet Linn ဆီမှာ စစ်ကိုင်းငလျင်အတွက် ကိုPhoe San ရဲ့ တယောလေလံကမ်ပိန်းကို လေလံဝင်ဆွဲလို့ရသလို၊ အလွတ်ပါဝင်ထည့်ကူလို့ရပါတယ်၊ (မနက်ဖြန် မတ်လ ၃၁ ရက်နေ့မှာ လေလံကမ်ပိန်းပြီးဆုံးပါမယ်)
Multiple,ANTS ,Grassroots campaign delivering aid to earthquake-affected areas across regions.,https://www.facebook.com/share/18bJFa7679/,ANTS - ပုရွက်ဆိတ်များ အဖွဲ့ကပြုလုပ်တဲ့ "ပြည်သူမှပြည်သူသို့" ကမ်ပိန်း
Multiple,CATS Association,Organizing relief under the title 'နားခိုရာ' to deliver safe support.,https://www.facebook.com/share/p/16ETxzULZn/,ANTS - ပုရွက်ဆိတ်များ အဖွဲ့ကပြုလုပ်တဲ့ "ပြည်သူမှပြည်သူသို့" ကမ်ပိန်း
Multiple,Dove KK,A youth-led relief campaign supporting quake-affected families.,https://www.facebook.com/share/p/154aaWcfsm/,Dove KK အဖွဲ့ကပြုလုပ်တဲ့ ကမ်ပိန်း.
Yangon-based,Clean Yangon,"Known for urban activism, now coordinating aid to quake zones.",https://www.facebook.com/share/p/1BGGxLSJSH/,Clean Yangon အဖွဲ့မှပြုလုပ်တဲ့ ကမ်ပိန်း.
Multiple,KTJ Supporting Group,Field-connected support group coordinating earthquake relief logistics.,https://www.facebook.com/share/15GqgWkogp/,KTJ Supporting Group အဖွဲ့က ပြုလုပ်တဲ့ကမ်ပိန်း
Sagaing & Mandalay,Maung 2.5 Kyat,Campaign titled 'Sagaing Mandalay Earthquake Relief'.,https://www.facebook.com/share/p/1EoJLUDE29/,မောင် နှစ်ကျပ်ခွဲ ပြုလုပ်နေတဲ့ "စစ်ကိုင်း မန္တလေးငလျင်ဘေး" ကမ်ပိန်း...
Nationwide,Spring Development Bank,Digital fundraising and distribution for resistance-aligned earthquake aid.,https://www.facebook.com/share/p/1A9NGnCGiM/,Spring Development Bank မှ ပြုလုပ်တဲ့ ကမ်ပိန်း
Nationwide,NUGPay – Earthquake Emergency Fund,Official NUG-backed emergency donation program for quake victims.,https://www.facebook.com/share/p/191siATiaP/,NUGPay မှ ပြုလုပ်နေတဲ့ "ငလျင်ဘေး ရန်ပုံငွေအစီအစဥ်"ကမ်ပိန်း